path,p,m,spAveCard,method,card,supported,extreme,unsupported,min1,min2,max1,max2,width1,width2,filter_time,spCard1,spCard2,spSupported1,spSupported2,spExtreme1,spExtreme2,spUnsupported1,spUnsupported2,spCard3,spSupported3,spExtreme3,spUnsupported3,spCard4,spSupported4,spExtreme4,spUnsupported4,spCard5,spSupported5,spExtreme5,spUnsupported5,min3,max3,width3,min4,max4,width4,min5,max5,width5,spSize,aveWidth,points_hypercube,pctSup,pctExt,spPctExt1,spPctExt2,spPctExt3,spPctExt4,spPctExt5,spAvePctExt,ubCard
alg1-prob-2-100|100-ll-2_1.json,2,2,100,l,886,167,164,719,6,2,19739,19565,19733,19563,0.0443,100,100,84,83,83,83,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,19648,386075976,0.18848758465011287,0.18510158013544017,0.83,0.83,NA,NA,NA,0.83,10000
alg1-prob-2-100|100-ll-2_2.json,2,2,100,l,896,161,160,735,6,7,19509,19535,19503,19528,0.0438,100,100,79,83,78,83,21,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,19515.5,380893616,0.1796875,0.17857142857142858,0.78,0.83,NA,NA,NA,0.8049999999999999,10000
alg1-prob-2-100|100-ll-2_3.json,2,2,100,l,883,167,160,716,8,0,19933,19476,19925,19476,0.053900000000000003,100,100,80,86,79,83,20,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,19700.5,388098702,0.18912797281993204,0.1812004530011325,0.79,0.83,NA,NA,NA,0.81,10000
alg1-prob-2-100|100-ll-2_4.json,2,2,100,l,923,169,162,754,18,5,19562,19183,19544,19178,0.044,100,100,84,83,84,83,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,19361,374853555,0.18309859154929578,0.17551462621885158,0.84,0.83,NA,NA,NA,0.835,10000
alg1-prob-2-100|100-ll-2_5.json,2,2,100,l,927,165,162,762,4,15,19254,19592,19250,19577,0.0517,100,100,86,79,86,78,14,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,19413.5,376896078,0.1779935275080906,0.17475728155339806,0.86,0.78,NA,NA,NA,0.8200000000000001,10000
alg1-prob-2-100|100-mm-2_1.json,2,2,100,m,700,14,14,686,2,23,17885,17564,17883,17541,0.0541,100,100,7,8,7,8,93,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,17712,313721128,0.02,0.02,0.07,0.08,NA,NA,NA,0.07500000000000001,10000
alg1-prob-2-100|100-mm-2_2.json,2,2,100,m,746,17,17,729,2,8,18312,17957,18310,17949,0.0455,100,100,8,10,8,10,92,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,18129.5,328682450,0.022788203753351208,0.022788203753351208,0.08,0.1,NA,NA,NA,0.09,10000
alg1-prob-2-100|100-mm-2_3.json,2,2,100,m,678,19,19,659,3,6,18371,17364,18368,17358,0.047,100,100,8,12,8,12,92,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,17863,318867471,0.028023598820058997,0.028023598820058997,0.08,0.12,NA,NA,NA,0.1,10000
alg1-prob-2-100|100-mm-2_4.json,2,2,100,m,678,19,19,659,3,6,18371,17364,18368,17358,0.0559,100,100,8,12,8,12,92,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,17863,318867471,0.028023598820058997,0.028023598820058997,0.08,0.12,NA,NA,NA,0.1,10000
alg1-prob-2-100|100-mm-2_5.json,2,2,100,m,733,20,20,713,6,3,17661,18580,17655,18577,0.0474,100,100,11,10,11,10,89,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,18116,328013168,0.027285129604365622,0.027285129604365622,0.11,0.1,NA,NA,NA,0.10500000000000001,10000
alg1-prob-2-100|100-ul-2_1.json,2,2,100,ul,260,85,84,175,74,151,19925,19871,19851,19720,0.0438,100,100,84,2,83,2,16,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,19785.5,391501292,0.3269230769230769,0.3230769230769231,0.83,0.02,NA,NA,NA,0.425,10000
alg1-prob-2-100|100-ul-2_2.json,2,2,100,ul,333,80,79,253,82,344,19690,19841,19608,19497,0.0439,100,100,79,2,78,2,21,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,19552.5,382336282,0.24024024024024024,0.23723723723723725,0.78,0.02,NA,NA,NA,0.4,10000
alg1-prob-2-100|100-ul-2_3.json,2,2,100,ul,284,85,85,199,54,126,19748,19489,19694,19363,0.0437,100,100,84,2,84,2,16,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,19528.5,381373980,0.2992957746478873,0.2992957746478873,0.84,0.02,NA,NA,NA,0.43,10000
